"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"92",1,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.1630881,0.49966953,1.16406479859,1.4065525825,0.916545732,1.08600045,0.48540911,1.084385819275,1.31184354,0.84637171625
"93",2,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.49098935,0.62751397,1.485293439495,1.8593026125,1.0666802575,1.4936699,0.64054959,1.489779825815,1.8695011475,1.0943987425
"94",3,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.58409895,0.37450567,1.568570599035,1.8284074,1.2291025175,1.61761595,0.34519505,1.612111338605,1.8624451025,1.3316269925
"95",4,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.1532395,0.544643705,1.15223808747525,1.48473421,0.80516386175,1.12561675,0.513867665,1.1249624839725,1.411697555,0.8351630125
"96",5,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.02622355,0.327156685,1.031162287765,1.3223087925,0.74096263875,1.00814235,0.305915295,1.00971249802,1.286894295,0.7311226925
"97",6,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,0.974645125,0.587099655,0.982367612235,1.4126831225,0.583604728,0.972544555,0.6062018,0.9756053849025,1.3858179425,0.58544682325
"98",7,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2928349,0.43002482,1.2894972519525,1.51252303,1.0594767675,1.23773555,0.37261431,1.2377736999325,1.4175517175,1.059856495
"99",8,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.08133425,0.751407275,1.06917909654925,1.55832536,0.512641231,1.0513608,0.670617795,1.04958265735,1.475574385,0.60748504525
"100",9,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.0856286,0.78631965,1.06160374677715,1.6214802425,0.3520812315,1.19282585,0.710179285,1.18485566084125,1.6701429625,0.68685511175
"101",10,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,0.901377735,0.58883733,0.8959470429688,1.3165322775,0.40896034575,0.87466786,0.607544475,0.8811281395725,1.3300386575,0.43627270725
"102",1,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.13544045,0.25698882,1.1357739947275,1.2922339,0.97126890975,1.1251286,0.273849915,1.12444313684,1.29920376,0.94895120375
"103",2,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.3111206,0.38144426,1.3052328427375,1.564607465,1.0307147125,1.3293791,0.37089986,1.3275210186175,1.5879272575,1.06083415
"104",3,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2835556,0.46824248,1.2836288038775,1.5803217225,0.99500631125,1.3000201,0.460360385,1.2967386003625,1.59224215,0.9945587105
"105",4,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2429352,0.482960515,1.240661187725,1.5105593,0.9483495685,1.2454931,0.47550633,1.2418966583125,1.5129335625,0.96285135325
"106",5,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2522538,0.467145035,1.2505380611975,1.52716468,0.9543812135,1.25381585,0.454432955,1.2530386522575,1.538616845,0.960228084
"107",6,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.36079445,0.449531375,1.35603086889,1.6330581425,1.0748429825,1.35151135,0.441639285,1.3487628898,1.6150457275,1.0545158625
"108",7,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.16687325,0.33880427,1.16634263517,1.40747133,0.915463106,1.1907491,0.31218202,1.1918159488775,1.4027287525,0.98567340475
"109",8,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.4185655,0.279819205,1.416526366125,1.652777775,1.1658912575,1.4230131,0.27227385,1.415782971885,1.64103909,1.149506965
"110",9,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.1593646,0.425891405,1.161383602075,1.43469775,0.88420433225,1.1826005,0.40779318,1.182553966855,1.43654376,0.9296297525
"111",10,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.3627404,0.428320265,1.36205100598,1.64643177,1.0626634875,1.3673762,0.41066325,1.3643621760525,1.6338100675,1.0666321975
